"","precio","lat","long","x","y","optional"
"705",3.87581,16.6243930497517,-98.9403919075649,-98.9403919075649,16.6243930497517,TRUE
"706",4.14525,16.6243930497517,-98.9403919075649,-98.9403919075649,16.6243930497517,TRUE
"707",3.54575,17.9811828150091,-99.0475239401953,-99.0475239401953,17.9811828150091,TRUE
"708",3.36771,17.9811828150091,-99.0475239401953,-99.0475239401953,17.9811828150091,TRUE
"709",4.984,17.4380776852937,-98.7028467057268,-98.7028467057268,17.4380776852937,TRUE
"710",3.5,17.4380776852937,-98.7028467057268,-98.7028467057268,17.4380776852937,TRUE
"711",4.5,17.4380776852937,-98.7028467057268,-98.7028467057268,17.4380776852937,TRUE
"712",4.01967,17.1782226903101,-100.025861156844,-100.025861156844,17.1782226903101,TRUE
"713",4.04795,17.1782226903101,-100.025861156844,-100.025861156844,17.1782226903101,TRUE
"714",3.05,18.0905653799092,-101.033761050819,-101.033761050819,18.0905653799092,TRUE
"715",3.854,18.0905653799092,-101.033761050819,-101.033761050819,18.0905653799092,TRUE
"716",3.802,18.0905653799092,-101.033761050819,-101.033761050819,18.0905653799092,TRUE
"717",3.95644,16.4549904553186,-98.5215959211185,-98.5215959211185,16.4549904553186,TRUE
"718",3.90141,16.4549904553186,-98.5215959211185,-98.5215959211185,16.4549904553186,TRUE
"719",4.09097,16.4549904553186,-98.5215959211185,-98.5215959211185,16.4549904553186,TRUE
"720",4.00857,16.4549904553186,-98.5215959211185,-98.5215959211185,16.4549904553186,TRUE
"721",4.2,17.7350477949642,-98.6615401890587,-98.6615401890587,17.7350477949642,TRUE
"722",3.7499,16.7200699449649,-98.9733047279417,-98.9733047279417,16.7200699449649,TRUE
"723",3.8344,16.7200699449649,-98.9733047279417,-98.9733047279417,16.7200699449649,TRUE
"724",3.99697,16.7200699449649,-98.9733047279417,-98.9733047279417,16.7200699449649,TRUE
"725",3.22361,18.1071689600863,-99.8321129569196,-99.8321129569196,18.1071689600863,TRUE
"726",4.19541,18.1071689600863,-99.8321129569196,-99.8321129569196,18.1071689600863,TRUE
"727",2.98304,18.6423371207351,-100.623333874444,-100.623333874444,18.6423371207351,TRUE
"728",3.59604,18.6423371207351,-100.623333874444,-100.623333874444,18.6423371207351,TRUE
"729",3.55057,18.6423371207351,-100.623333874444,-100.623333874444,18.6423371207351,TRUE
"730",3.88858,17.8141179396705,-99.6090490388148,-99.6090490388148,17.8141179396705,TRUE
"731",4.6779,17.8141179396705,-99.6090490388148,-99.6090490388148,17.8141179396705,TRUE
"732",3.85397,16.6938185098633,-99.1419284735019,-99.1419284735019,16.6938185098633,TRUE
"733",3.98223,16.6938185098633,-99.1419284735019,-99.1419284735019,16.6938185098633,TRUE
"734",3.88736,16.6938185098633,-99.1419284735019,-99.1419284735019,16.6938185098633,TRUE
"735",4.27681,16.6938185098633,-99.1419284735019,-99.1419284735019,16.6938185098633,TRUE
"736",4.08082,18.4437705005731,-100.11971490929,-100.11971490929,18.4437705005731,TRUE
"737",4.43966,17.720101274969,-100.023214178572,-100.023214178572,17.720101274969,TRUE
"738",4.69592,17.720101274969,-100.023214178572,-100.023214178572,17.720101274969,TRUE
"739",4.82827,17.8298066399833,-98.5646994602598,-98.5646994602598,17.8298066399833,TRUE
"740",4.5,17.8298066399833,-98.5646994602598,-98.5646994602598,17.8298066399833,TRUE
"741",4.545,17.8298066399833,-98.5646994602598,-98.5646994602598,17.8298066399833,TRUE
"742",3.59863,18.1914905448083,-99.2820320065132,-99.2820320065132,18.1914905448083,TRUE
"743",3.51906,18.1914905448083,-99.2820320065132,-99.2820320065132,18.1914905448083,TRUE
"744",3.47619,18.1923168999917,-99.6023670024972,-99.6023670024972,18.1923168999917,TRUE
"745",3.52041,18.1923168999917,-99.6023670024972,-99.6023670024972,18.1923168999917,TRUE
"746",3.71338,16.7808359150934,-98.464680684849,-98.464680684849,16.7808359150934,TRUE
"747",4.034,16.7808359150934,-98.464680684849,-98.464680684849,16.7808359150934,TRUE
"748",4.815,17.051536384897,-98.6407774797709,-98.6407774797709,17.051536384897,TRUE
"749",4.97271,18.4633651147896,-99.7659831417543,-99.7659831417543,18.4633651147896,TRUE
"750",4.53349,17.4405398449761,-98.9931692844654,-98.9931692844654,17.4405398449761,TRUE
"751",3.59061,17.1368439149452,-99.3829339960187,-99.3829339960187,17.1368439149452,TRUE
"752",4.11274,17.1368439149452,-99.3829339960187,-99.3829339960187,17.1368439149452,TRUE
"753",3.83007,16.5886308849394,-98.6820626220425,-98.6820626220425,16.5886308849394,TRUE
"754",4.06179,16.5886308849394,-98.6820626220425,-98.6820626220425,16.5886308849394,TRUE
"755",3.51602,18.0091145496638,-101.910533303725,-101.910533303725,18.0091145496638,TRUE
"756",4.02588,18.0091145496638,-101.910533303725,-101.910533303725,18.0091145496638,TRUE
"757",3.98358,17.6302854097984,-99.7812967873887,-99.7812967873887,17.6302854097984,TRUE
"758",4.95061,17.6302854097984,-99.7812967873887,-99.7812967873887,17.6302854097984,TRUE
"759",4.974,17.1287737252454,-98.714979085018,-98.714979085018,17.1287737252454,TRUE
"760",4.712,17.1287737252454,-98.714979085018,-98.714979085018,17.1287737252454,TRUE
"761",3.83816,16.6238335746887,-98.8006566282058,-98.8006566282058,16.6238335746887,TRUE
"762",4.0937,16.6238335746887,-98.8006566282058,-98.8006566282058,16.6238335746887,TRUE
"763",4.72478,17.8078647850472,-99.3166642731403,-99.3166642731403,17.8078647850472,TRUE
"764",4.879,17.1239595951791,-98.5581127407383,-98.5581127407383,17.1239595951791,TRUE
"765",4.925,17.1239595951791,-98.5581127407383,-98.5581127407383,17.1239595951791,TRUE
"766",4.19541,17.3430207751692,-99.3896772107594,-99.3896772107594,17.3430207751692,TRUE
"767",4.8655,17.3430207751692,-99.3896772107594,-99.3896772107594,17.3430207751692,TRUE
"768",4.2,17.8825839450033,-98.7746909936151,-98.7746909936151,17.8825839450033,TRUE
"769",3.45181,16.6726427601849,-98.363031261164,-98.363031261164,16.6726427601849,TRUE
"770",4.08603,16.6726427601849,-98.363031261164,-98.363031261164,16.6726427601849,TRUE
"771",4.21777,18.5264867299455,-99.8812832546475,-99.8812832546475,18.5264867299455,TRUE
"772",3.53429,17.6329540997819,-101.133509448796,-101.133509448796,17.6329540997819,TRUE
"773",4.03122,17.6329540997819,-101.133509448796,-101.133509448796,17.6329540997819,TRUE
"774",3.19526,18.7157330607143,-99.6239008949839,-99.6239008949839,18.7157330607143,TRUE
"775",4.26076,18.7157330607143,-99.6239008949839,-99.6239008949839,18.7157330607143,TRUE
"776",3.02906,18.3437118397813,-100.612026720898,-100.612026720898,18.3437118397813,TRUE
"777",3.852,18.3437118397813,-100.612026720898,-100.612026720898,18.3437118397813,TRUE
"778",3.803,18.3437118397813,-100.612026720898,-100.612026720898,18.3437118397813,TRUE
"779",4.22235,17.320131624994,-99.1692948637209,-99.1692948637209,17.320131624994,TRUE
"780",4.87441,17.320131624994,-99.1692948637209,-99.1692948637209,17.320131624994,TRUE
"781",3.61379,16.8700855151217,-98.7222074537347,-98.7222074537347,16.8700855151217,TRUE
"782",3.58778,16.8700855151217,-98.7222074537347,-98.7222074537347,16.8700855151217,TRUE
"783",3.95382,16.8461110601198,-99.3913259370157,-99.3913259370157,16.8461110601198,TRUE
"784",4.05268,16.8461110601198,-99.3913259370157,-99.3913259370157,16.8461110601198,TRUE
"785",3.79355,16.8461110601198,-99.3913259370157,-99.3913259370157,16.8461110601198,TRUE
"786",4.44202,16.8461110601198,-99.3913259370157,-99.3913259370157,16.8461110601198,TRUE
"787",2.934,17.8471242002838,-100.319436842931,-100.319436842931,17.8471242002838,TRUE
"788",3.298,17.8471242002838,-100.319436842931,-100.319436842931,17.8471242002838,TRUE
"789",3.242,17.8471242002838,-100.319436842931,-100.319436842931,17.8471242002838,TRUE
"790",3.5,18.521808419631,-99.606507525418,-99.606507525418,18.521808419631,TRUE
"791",4.0386,18.521808419631,-99.606507525418,-99.606507525418,18.521808419631,TRUE
"792",3.56825,16.9706505652647,-99.2831354772139,-99.2831354772139,16.9706505652647,TRUE
"793",3.64555,16.9706505652647,-99.2831354772139,-99.2831354772139,16.9706505652647,TRUE
"794",3.76163,17.4010835049948,-100.750561965786,-100.750561965786,17.4010835049948,TRUE
"795",3.89171,17.4010835049948,-100.750561965786,-100.750561965786,17.4010835049948,TRUE
"796",3.36659,18.3868171401271,-99.9200513336319,-99.9200513336319,18.3868171401271,TRUE
"797",4.36939,18.3868171401271,-99.9200513336319,-99.9200513336319,18.3868171401271,TRUE
"798",3.38212,18.1244427503681,-99.4563271773348,-99.4563271773348,18.1244427503681,TRUE
"799",3.20539,18.1244427503681,-99.4563271773348,-99.4563271773348,18.1244427503681,TRUE
"800",3.4,18.658806315057,-99.7003996750287,-99.7003996750287,18.658806315057,TRUE
"801",4.525,18.658806315057,-99.7003996750287,-99.7003996750287,18.658806315057,TRUE
"802",3.896,17.6091850450931,-99.3684382686761,-99.3684382686761,17.6091850450931,TRUE
"803",4.59473,17.6091850450931,-99.3684382686761,-99.3684382686761,17.6091850450931,TRUE
"804",3.65578,16.974910055071,-98.2710690438441,-98.2710690438441,16.974910055071,TRUE
"805",3.92276,16.974910055071,-98.2710690438441,-98.2710690438441,16.974910055071,TRUE
"806",4.867,17.2093826299899,-98.7976147497327,-98.7976147497327,17.2093826299899,TRUE
"807",3.7,17.2093826299899,-98.7976147497327,-98.7976147497327,17.2093826299899,TRUE
"808",4.2,17.2093826299899,-98.7976147497327,-98.7976147497327,17.2093826299899,TRUE
"809",3.0587,18.461206240034,-100.441923935886,-100.441923935886,18.461206240034,TRUE
"810",3.64416,18.461206240034,-100.441923935886,-100.441923935886,18.461206240034,TRUE
"811",3.50038,18.461206240034,-100.441923935886,-100.441923935886,18.461206240034,TRUE
"812",2.45,17.5681584152931,-98.3782522041232,-98.3782522041232,17.5681584152931,TRUE
"813",4.256,17.5681584152931,-98.3782522041232,-98.3782522041232,17.5681584152931,TRUE
"814",4.868,17.5271291848745,-98.5855375794824,-98.5855375794824,17.5271291848745,TRUE
"815",3.8,17.5271291848745,-98.5855375794824,-98.5855375794824,17.5271291848745,TRUE
"816",4.5,17.5271291848745,-98.5855375794824,-98.5855375794824,17.5271291848745,TRUE
"817",2.97223,18.2771964950006,-100.443245922854,-100.443245922854,18.2771964950006,TRUE
"818",3.51146,18.2771964950006,-100.443245922854,-100.443245922854,18.2771964950006,TRUE
"819",3.44775,18.2771964950006,-100.443245922854,-100.443245922854,18.2771964950006,TRUE
"820",4.989,17.4285585351453,-98.4824549221005,-98.4824549221005,17.4285585351453,TRUE
"821",3.7,17.4285585351453,-98.4824549221005,-98.4824549221005,17.4285585351453,TRUE
"822",4.5,17.4285585351453,-98.4824549221005,-98.4824549221005,17.4285585351453,TRUE
"823",4.79681,17.8925382052087,-98.4786359045086,-98.4786359045086,17.8925382052087,TRUE
"824",4.5,17.8925382052087,-98.4786359045086,-98.4786359045086,17.8925382052087,TRUE
"825",4.512,17.8925382052087,-98.4786359045086,-98.4786359045086,17.8925382052087,TRUE
"826",3.62765,16.8816947852811,-98.1162298432617,-98.1162298432617,16.8816947852811,TRUE
"827",4.05855,16.8816947852811,-98.1162298432617,-98.1162298432617,16.8816947852811,TRUE
"828",4.986,17.3216859502227,-98.8173481016913,-98.8173481016913,17.3216859502227,TRUE
"829",3.855,17.3216859502227,-98.8173481016913,-98.8173481016913,17.3216859502227,TRUE
"830",4.563,17.3216859502227,-98.8173481016913,-98.8173481016913,17.3216859502227,TRUE
"831",3.58087,17.8078999797707,-101.496952489739,-101.496952489739,17.8078999797707,TRUE
"832",4.06479,17.8078999797707,-101.496952489739,-101.496952489739,17.8078999797707,TRUE
"833",3.13813,18.328422274671,-101.203599276464,-101.203599276464,18.328422274671,TRUE
"834",3.59282,18.328422274671,-101.203599276464,-101.203599276464,18.328422274671,TRUE
"835",3.52046,18.328422274671,-101.203599276464,-101.203599276464,18.328422274671,TRUE
"836",4.16151,17.7475135851792,-99.186790232083,-99.186790232083,17.7475135851792,TRUE
"837",4.53975,17.7475135851792,-99.186790232083,-99.186790232083,17.7475135851792,TRUE
"838",3.03,20.2049603499823,-98.4187992432369,-98.4187992432369,20.2049603499823,TRUE
"839",3.03,20.2049603499823,-98.4187992432369,-98.4187992432369,20.2049603499823,TRUE
"840",3,20.1648991701481,-98.2017624200094,-98.2017624200094,20.1648991701481,TRUE
"841",3,20.1648991701481,-98.2017624200094,-98.2017624200094,20.1648991701481,TRUE
"842",3.36055,20.3088786151302,-98.8756598337676,-98.8756598337676,20.3088786151302,TRUE
"843",3.3,20.3088786151302,-98.8756598337676,-98.8756598337676,20.3088786151302,TRUE
"844",3.03,20.364816040507,-98.3729367068559,-98.3729367068559,20.364816040507,TRUE
"845",2.95,20.364816040507,-98.3729367068559,-98.3729367068559,20.364816040507,TRUE
"846",3.26118,20.1067118001096,-99.0707610139143,-99.0707610139143,20.1067118001096,TRUE
"847",3.35,20.1067118001096,-99.0707610139143,-99.0707610139143,20.1067118001096,TRUE
"848",3.29706,20.410277050022,-99.4031534899472,-99.4031534899472,20.410277050022,TRUE
"849",2.7242,20.410277050022,-99.4031534899472,-99.4031534899472,20.410277050022,TRUE
"850",3.3,19.7381962354597,-98.3157784492126,-98.3157784492126,19.7381962354597,TRUE
"851",3.86544,19.7381962354597,-98.3157784492126,-98.3157784492126,19.7381962354597,TRUE
"852",3.9384,19.7317586953856,-98.4815105897773,-98.4815105897773,19.7317586953856,TRUE
"853",3.26051,20.0597395448733,-99.2132882428562,-99.2132882428562,20.0597395448733,TRUE
"854",3.4,20.0597395448733,-99.2132882428562,-99.2132882428562,20.0597395448733,TRUE
"855",4.7,21.0207468799363,-98.3775283724059,-98.3775283724059,21.0207468799363,TRUE
"856",4.6,21.0207468799363,-98.3775283724059,-98.3775283724059,21.0207468799363,TRUE
"857",3.28122,19.9603048198004,-99.236861258017,-99.236861258017,19.9603048198004,TRUE
"858",3.4,19.9603048198004,-99.236861258017,-99.236861258017,19.9603048198004,TRUE
"859",4.1,20.3409202752408,-98.6714438374158,-98.6714438374158,20.3409202752408,TRUE
"860",4.3,20.3409202752408,-98.6714438374158,-98.6714438374158,20.3409202752408,TRUE
"861",4.6,20.9043387600029,-98.5335394093091,-98.5335394093091,20.9043387600029,TRUE
"862",4.45,20.9043387600029,-98.5335394093091,-98.5335394093091,20.9043387600029,TRUE
"863",3.1588,20.5963575300972,-99.0499374803373,-99.0499374803373,20.5963575300972,TRUE
"864",3.4,20.5963575300972,-99.0499374803373,-99.0499374803373,20.5963575300972,TRUE
"865",3.31878,20.2441097101002,-99.5194610843796,-99.5194610843796,20.2441097101002,TRUE
"866",3.38718,20.2441097101002,-99.5194610843796,-99.5194610843796,20.2441097101002,TRUE
"867",3.18273,21.1263192501089,-98.9521192298736,-98.9521192298736,21.1263192501089,TRUE
"868",3.71842,21.1263192501089,-98.9521192298736,-98.9521192298736,21.1263192501089,TRUE
