x	y	type
89	3	5
112	13	5
108	10	5
139	19	5
152	18	5
147	11	5
156	4	5
177	19	5
191	18	5
199	11	5
189	10	5
51	20	5
46	19	5
43	19	5
46	18	5
46	36	5
59	35	5
57	22	5
41	22	5
61	30	5
71	29	5
62	29	5
61	28	5
99	37	5
99	33	5
84	23	5
82	21	5
110	36	5
104	36	5
119	24	5
117	23	5
132	32	5
129	32	5
134	31	5
131	28	5
127	27	5
137	24	5
136	23	5
152	33	5
150	31	5
148	21	5
161	39	5
171	36	5
170	22	5
168	22	5
182	40	5
193	39	5
184	39	5
193	37	5
191	37	5
197	34	5
199	32	5
192	32	5
193	29	5
188	29	5
187	27	5
186	24	5
209	38	5
203	38	5
211	35	5
218	32	5
209	27	5
5	54	5
3	52	5
7	45	5
1	45	5
11	43	5
19	42	5
2	41	5
39	59	5
33	59	5
34	57	5
